unique_id,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,row_id,cluster_id,confidence_score
INV-41651500028,2021-11-04,3385,Sam's Club 8162 / Cedar Rapids,2605 Blairs Ferry Rd NE,Cedar Rapids,52402,POINT (-91.67969 42.031819),57,LINN,1071100,Cocktails /RTD,395,PROXIMO,58875,Jose Cuervo Golden Margarita,6,1750,11.04,16.56,48,794.88,84,22.19,INV-41651500028,368,0.81
INV-33313400022,2021-01-08,5569,Casey's General Store #2765 / Cedar Rapids,5050 Northland Ave NE,Cedar Rapids,52402,POINT (-91.631682 42.02846),57,LINN,1062400,Spiced Rum,260,DIAGEO AMERICAS,43334,Captain Morgan Original Spiced,24,375,5,7.5,24,180,9,2.37,INV-33313400022,194,0.81
INV-42732800105,2021-12-09,2605,Hy-Vee Drugstore #5 / Cedar Rapids,2001 Blairs Ferry Road NE,Cedar Rapids,52402,POINT (-91.668919 42.034799),57,LINN,1081200,Cream Liqueurs,300,McCormick Distilling Co.,65200,Tequila Rose Liqueur,12,750,11.5,17.25,6,103.5,4.5,1.18,INV-42732800105,255,0.81
INV-36310600014,2021-05-04,5481,Tobacco Outlet & Liquor,1545 1st Ave SE,Cedar Rapids,52402,POINT (-91.650633 41.989033),57,LINN,1022100,Mixto Tequila,395,PROXIMO,87403,Jose Cuervo Especial Silver,24,375,6,9,24,216,9,2.37,INV-36310600014,1275,1.0
INV-33413000084,2021-01-13,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 Oakland Road NE,Cedar Rapids,52402,POINT (-91.658105 42.010971),57,LINN,1012200,Scotch Whiskies,35,BACARDI USA INC,4868,Dewars White Label Scotch,6,1750,26.5,39.75,6,238.5,10.5,2.77,INV-33413000084,0,0.81
INV-36767100138,2021-05-19,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 Oakland Road NE,Cedar Rapids,52402,POINT (-91.658105 42.010971),57,LINN,1032200,Imported Flavored Vodka,115,CONSTELLATION BRANDS INC,36576,Svedka Blue Raspberry,12,750,8.75,13.13,2,26.26,1.5,0.39,INV-36767100138,0,0.81
INV-40526300001,2021-09-29,2843,CVS Pharmacy #8526 / Cedar Rapids,4116 Center Pointe Rd,Cedar Rapids,52402,POINT (-91.665139 42.020729),57,LINN,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,11294,Crown Royal,24,375,8,12,12,144,4.5,1.18,INV-40526300001,1507,1.0
INV-39912100007,2021-09-09,4634,Kwik Shop #565 / Cedar Rapids,"4201, Center Point Rd NE",Cedar Rapids,52402,POINT (-91.665659 42.021931),57,LINN,1031100,American Vodkas,434,LUXCO INC,36306,Hawkeye Vodka,12,750,3.34,5.01,12,60.12,9,2.37,INV-39912100007,1081,0.81
INV-34481400050,2021-02-22,2568,Hy-Vee Food Store #4 / Cedar Rapids,1556 First Avenue NE,Cedar Rapids,52402,POINT (-91.650755 41.988967),57,LINN,1022200,100% Agave Tequila,35,BACARDI USA INC,88296,Patron Silver,12,750,27.5,41.25,1,41.25,0.75,0.19,INV-34481400050,660,0.81
INV-34797900010,2021-03-05,5569,Casey's General Store #2765 / Cedar Rapids,5050 Northland Ave NE,Cedar Rapids,52402,POINT (-91.631682 42.02846),57,LINN,1032100,Imported Vodkas,115,CONSTELLATION BRANDS INC,34820,Svedka 80prf,12,750,8.25,12.38,4,49.52,3,0.79,INV-34797900010,194,0.81
